condition,seed,task_name,realized_sample_count
wd_zero,9,A00_copy,2777
wd_zero,9,A01_reverse,3047
wd_zero,9,A02_substitute,4606
wd_zero,9,A03_copy,69990
wd_zero,9,A04_reverse,3323
wd_zero,9,A05_substitute,2334
wd_zero,9,A06_copy,33860
wd_zero,9,A07_reverse,3543
wd_zero,9,C00_reverse_then_substitute_06_04,12809
wd_zero,9,C01_substitute_then_reverse_03_04,6982
wd_zero,9,C02_copy_then_substitute_00_07,2618
wd_zero,9,C03_reverse_then_substitute_06_01,16365
wd_zero,9,C04_substitute_then_reverse_07_01,2426
wd_zero,9,C05_copy_then_substitute_06_07,2724
wd_zero,9,C06_reverse_then_substitute_02_00,10810
wd_zero,9,C07_substitute_then_reverse_04_03,22101
wd_zero,9,K00_shortcut_for_A00_copy,4074
wd_zero,9,K01_shortcut_for_A07_reverse,4397
wd_zero,9,K02_shortcut_for_A04_reverse,9138
wd_zero,9,S00_surface_rotate,5160
wd_zero,9,S01_surface_rotate,8020
wd_zero,9,S02_surface_rotate,3839
wd_zero,9,U00_unrelated_substitute,5595
wd_zero,9,U01_unrelated_substitute,6336
wd_zero,9,U02_unrelated_substitute,3238
