condition,component_id,composite_id,mean_residual_log_time,positive_residual_rate,acquisition_rate,mean_observed_time,mean_predicted_time,composite_op,frequency,reference_learnability,formal_utility
batch_large,A07_reverse,C03_reverse_then_substitute_07_02,-1.2497283379422925,0.0,0.4,240435.2,837678.647846287,reverse_then_substitute,0.0206098816944667,3.0,0.0
batch_large,A02_substitute,C03_reverse_then_substitute_07_02,-1.2497283379422925,0.0,0.4,240435.2,837678.647846287,reverse_then_substitute,0.0206098816944667,3.0,0.0
batch_large,A05_substitute,C06_reverse_then_substitute_05_07,-1.2497283379422925,0.0,0.4,240435.2,837678.647846287,reverse_then_substitute,0.1352490775505666,3.0,0.0
batch_large,A07_reverse,C06_reverse_then_substitute_05_07,-1.2497283379422925,0.0,0.4,240435.2,837678.647846287,reverse_then_substitute,0.1352490775505666,3.0,0.0
base,A07_reverse,C03_reverse_then_substitute_07_02,-1.2771135004930865,0.0,1.0,183347.2,641826.9260569753,reverse_then_substitute,0.0206098816944667,3.0,0.0
base,A02_substitute,C03_reverse_then_substitute_07_02,-1.2771135004930865,0.0,1.0,183347.2,641826.9260569753,reverse_then_substitute,0.0206098816944667,3.0,0.0
base,A05_substitute,C06_reverse_then_substitute_05_07,-1.2771135004930865,0.0,1.0,183347.2,641826.9260569753,reverse_then_substitute,0.1352490775505666,3.0,0.0
base,A07_reverse,C06_reverse_then_substitute_05_07,-1.2771135004930865,0.0,1.0,183347.2,641826.9260569753,reverse_then_substitute,0.1352490775505666,3.0,0.0
wd_zero,A07_reverse,C03_reverse_then_substitute_07_02,-1.2945834983362725,0.0,1.0,183347.2,653138.174602667,reverse_then_substitute,0.0206098816944667,3.0,0.0
wd_zero,A02_substitute,C03_reverse_then_substitute_07_02,-1.2945834983362725,0.0,1.0,183347.2,653138.174602667,reverse_then_substitute,0.0206098816944667,3.0,0.0
wd_zero,A05_substitute,C06_reverse_then_substitute_05_07,-1.2945834983362725,0.0,1.0,183347.2,653138.174602667,reverse_then_substitute,0.1352490775505666,3.0,0.0
wd_zero,A07_reverse,C06_reverse_then_substitute_05_07,-1.2945834983362725,0.0,1.0,183347.2,653138.174602667,reverse_then_substitute,0.1352490775505666,3.0,0.0
lr_high,A07_reverse,C03_reverse_then_substitute_07_02,-1.3675945807690333,0.0,1.0,111718.4,437475.9557221198,reverse_then_substitute,0.0206098816944667,3.0,0.0
lr_high,A02_substitute,C03_reverse_then_substitute_07_02,-1.3675945807690333,0.0,1.0,111718.4,437475.9557221198,reverse_then_substitute,0.0206098816944667,3.0,0.0
lr_high,A05_substitute,C06_reverse_then_substitute_05_07,-1.409485421315685,0.0,1.0,107212.8,437475.9557221198,reverse_then_substitute,0.1352490775505666,3.0,0.0
lr_high,A07_reverse,C06_reverse_then_substitute_05_07,-1.409485421315685,0.0,1.0,107212.8,437475.9557221198,reverse_then_substitute,0.1352490775505666,3.0,0.0
batch_small,A07_reverse,C03_reverse_then_substitute_07_02,-1.418998118692952,0.0,1.0,120064.0,493464.9722634635,reverse_then_substitute,0.0206098816944667,3.0,0.0
batch_small,A02_substitute,C03_reverse_then_substitute_07_02,-1.418998118692952,0.0,1.0,120064.0,493464.9722634635,reverse_then_substitute,0.0206098816944667,3.0,0.0
batch_small,A05_substitute,C06_reverse_then_substitute_05_07,-1.418998118692952,0.0,1.0,120064.0,493464.9722634635,reverse_then_substitute,0.1352490775505666,3.0,0.0
batch_small,A07_reverse,C06_reverse_then_substitute_05_07,-1.418998118692952,0.0,1.0,120064.0,493464.9722634635,reverse_then_substitute,0.1352490775505666,3.0,0.0
